episodes,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan,Darryl,Phyllis,Jan,Toby,Kelly,Stanley,Meredith,Holly,David,Nellie
53,0.2541133455,0.1224862888,0.07129798903,0.09140767824,0.02559414991,0.04204753199,0.02376599634,0,0.005484460695,0.1389396709,0,0.02376599634,0.02925045704,0.03290676417,0.0365630713,0.009140767824,0,0,0,0
54,0.2697247706,0.152293578,0.1229357798,0.04403669725,0.08256880734,0.08990825688,0.02568807339,0,0.01467889908,0.0128440367,0.01651376147,0.01651376147,0.01100917431,0,0.01467889908,0.0128440367,0.02201834862,0,0,0
55,0.3008849558,0.08628318584,0.0907079646,0.110619469,0.02433628319,0.008849557522,0.02212389381,0,0.05530973451,0.04646017699,0.02212389381,0.004424778761,0.0685840708,0.004424778761,0.02876106195,0.01548672566,0.002212389381,0,0,0
56,0.2932692308,0.04807692308,0.1346153846,0.08653846154,0.1009615385,0.009615384615,0.01442307692,0,0.004807692308,0.03846153846,0.04807692308,0.03365384615,0,0,0,0.004807692308,0.01442307692,0,0,0
57,0.2918149466,0.1352313167,0.2455516014,0.0640569395,0.02846975089,0,0.007117437722,0,0.03558718861,0,0,0.007117437722,0,0.02491103203,0,0.03558718861,0,0,0,0
58,0.2789699571,0.1072961373,0.2918454936,0.04721030043,0.03004291845,0.03004291845,0.008583690987,0,0.03004291845,0,0,0.01716738197,0,0.0686695279,0.004291845494,0.008583690987,0.02145922747,0,0,0
59,0.3237704918,0.02049180328,0.05737704918,0.08606557377,0,0,0.01639344262,0,0.004098360656,0.04098360656,0.01229508197,0,0.1147540984,0.01639344262,0.06147540984,0,0.004098360656,0,0.01229508197,0
60,0.3156028369,0.05673758865,0.134751773,0.09929078014,0.03546099291,0.04255319149,0,0,0,0,0,0.003546099291,0.2588652482,0,0,0.003546099291,0,0,0,0
61,0.3272727273,0.07727272727,0.09545454545,0.1590909091,0.06363636364,0.004545454545,0.09090909091,0,0.009090909091,0,0,0.04090909091,0.004545454545,0,0,0.004545454545,0,0,0,0
62,0.2806451613,0.135483871,0.1193548387,0.04193548387,0.01290322581,0.01290322581,0.009677419355,0,0.02258064516,0.1935483871,0,0.009677419355,0,0.02580645161,0.009677419355,0.01290322581,0.003225806452,0,0,0
63,0.3411764706,0.1254901961,0.09019607843,0.06274509804,0.09019607843,0.01176470588,0.03137254902,0,0.007843137255,0.02352941176,0.05098039216,0.02745098039,0,0.03921568627,0.003921568627,0.09019607843,0,0,0,0
64,0.2393617021,0.05319148936,0.1010638298,0.1755319149,0.06914893617,0.02127659574,0.03723404255,0,0.02659574468,0,0.03191489362,0.01063829787,0,0,0.005319148936,0,0.005319148936,0,0,0
65,0.3081395349,0.07170542636,0.1143410853,0.08139534884,0.01356589147,0.02713178295,0.04457364341,0,0.001937984496,0.009689922481,0.003875968992,0.03100775194,0.04651162791,0.07170542636,0.007751937984,0.001937984496,0.007751937984,0.1317829457,0,0
66,0.2263779528,0.09645669291,0.124015748,0.07086614173,0.05708661417,0.05118110236,0.02755905512,0,0.03543307087,0.03937007874,0.01968503937,0.03149606299,0.009842519685,0.001968503937,0.02362204724,0.0157480315,0.007874015748,0.1082677165,0,0
67,0.2612612613,0.06306306306,0.1216216216,0.04054054054,0.05405405405,0.009009009009,0.02252252252,0,0.02252252252,0.01351351351,0,0.01351351351,0,0,0.01351351351,0.01351351351,0.05855855856,0.2297297297,0,0
68,0.2925925926,0.1296296296,0.1,0.09259259259,0.04814814815,0.04814814815,0.01481481481,0,0.01111111111,0,0.03333333333,0.02592592593,0.1407407407,0,0.007407407407,0.007407407407,0.003703703704,0.03703703704,0,0
69,0.2873134328,0.1156716418,0.07835820896,0.03358208955,0.02611940299,0.02985074627,0.01865671642,0,0.01865671642,0,0.02985074627,0.08582089552,0,0,0,0.003731343284,0,0.1343283582,0,0
70,0.2,0.1220338983,0.08474576271,0.08474576271,0.1355932203,0,0.003389830508,0,0.003389830508,0.01355932203,0.09830508475,0.01355932203,0,0,0.01694915254,0.003389830508,0.003389830508,0.1084745763,0,0
71,0.1716621253,0.2316076294,0.2833787466,0.08174386921,0.07084468665,0.01634877384,0.005449591281,0,0,0.01634877384,0.00272479564,0,0,0,0.06267029973,0,0,0,0,0
72,0.2369230769,0.04923076923,0.06769230769,0.04307692308,0.2123076923,0.03076923077,0.006153846154,0,0.1169230769,0.04,0,0.006153846154,0,0,0.04615384615,0.009230769231,0.01538461538,0,0,0
73,0.3020134228,0.1275167785,0.1040268456,0.08724832215,0.02013422819,0.006711409396,0.006711409396,0,0.01006711409,0.06040268456,0,0.01006711409,0,0.09731543624,0.03355704698,0,0.006711409396,0,0.03691275168,0
74,0.3095975232,0.08978328173,0.0959752322,0.1795665635,0.05572755418,0.07120743034,0.009287925697,0,0.0959752322,0,0,0.006191950464,0,0.006191950464,0.003095975232,0.01238390093,0.003095975232,0,0.01857585139,0
75,0.2708333333,0.1125,0.1083333333,0.025,0.03333333333,0.05,0.0125,0,0.02083333333,0,0.025,0.07916666667,0,0.0625,0.004166666667,0.01666666667,0.15,0,0,0
76,0.1786941581,0.2268041237,0.116838488,0.03092783505,0.2233676976,0.07560137457,0.02749140893,0,0.03436426117,0,0,0.01030927835,0,0,0.006872852234,0.006872852234,0.0206185567,0,0.02749140893,0
77,0.3435114504,0.2786259542,0.0534351145,0.01908396947,0.01908396947,0.01145038168,0.0534351145,0,0.01145038168,0,0,0.01526717557,0,0,0.007633587786,0.01908396947,0.007633587786,0,0.03435114504,0
78,0.2829736211,0.175059952,0.08393285372,0.07673860911,0.0551558753,0.03836930456,0.01918465228,0,0.02637889688,0,0.01438848921,0.02637889688,0,0,0.007194244604,0.06714628297,0.007194244604,0,0.002398081535,0
79,0.2320675105,0.1054852321,0.1434599156,0.1476793249,0.1139240506,0,0,0,0.004219409283,0,0,0.01265822785,0,0,0.03375527426,0.02953586498,0,0,0,0
80,0.1968503937,0.1299212598,0.1299212598,0.1496062992,0,0.07480314961,0.07086614173,0,0.05118110236,0,0,0.003937007874,0,0,0.07086614173,0.007874015748,0.03543307087,0,0,0
