"name","s1","s2","s3","s4","s5","s6","s7","s8","s9"
"Way",0,0,1,0,0,0,0,0,0
"White",0,0,0,0,0,0,0,0,1
"Woman",0,0,4,5,1,4,3,0,3
"Woman at bar",0,0,1,0,0,0,0,0,0
"Woman on mic",0,0,0,1,0,0,0,0,0
"Women",0,1,1,0,0,0,0,0,0
"Worker",0,0,0,0,0,0,0,0,1
"Young Man",0,0,1,0,0,0,0,0,0
"Zeke",0,0,0,0,0,0,0,0,9
"Zion",0,0,0,0,0,1,0,0,0
