character,season,episode,percent
Pam,100,6,0.04858299595
Pam,101,6,0.04494382022
Pam,102,6,0.05283018868
Pam,103,6,0.04790419162
Pam,104,6,0.03816793893
Pam,105,6,0.0946969697
Pam,106,6,0.01694915254
Pam,107,6,0.2016
Pam,108,6,0.003584229391
Pam,109,6,0.01067615658
Pam,110,6,0.08635097493
Pam,111,6,0.1138211382
Pam,112,6,0.08231707317
Pam,113,6,0.1363636364
Pam,114,6,0.09202453988
Pam,115,6,0.0693877551
Pam,116,7,0.1126126126
Pam,117,7,0.1455223881
Pam,118,7,0.07423580786
Pam,119,7,0.02492211838
Pam,120,7,0.02564102564
Pam,121,7,0.08450704225
Pam,122,7,0.1153846154
Pam,123,7,0.08712121212
Pam,124,7,0.09090909091
Pam,125,7,0.1483870968
Pam,126,7,0.1151919866
Pam,127,7,0.09717868339
Pam,128,7,0.06338028169
Pam,129,7,0.1161290323
Pam,130,7,0.06818181818
Pam,131,7,0.05555555556
Pam,132,7,0.1150159744
Pam,133,7,0.1103448276
Pam,134,7,0.03278688525
Pam,135,7,0.0572519084
Pam,136,7,0.06079027356
Pam,137,7,0.09056603774
Pam,138,7,0.04280155642
Pam,139,7,0.06477732794
Pam,140,8,0.09124087591
Pam,141,8,0.1203319502
Pam,142,8,0.07255520505
Pam,143,8,0.05617977528
Pam,144,8,0.09507042254
Pam,145,8,0.06481481481
Pam,146,8,0.2024922118
Pam,147,8,0.06382978723
Pam,148,8,0
Pam,149,8,0
Pam,150,8,0
Pam,151,8,0
Pam,152,8,0.0752688172
Pam,153,8,0.1
Pam,154,8,0.04081632653
Pam,155,8,0.05357142857
Pam,156,8,0.04048582996
Pam,157,8,0.03787878788
Pam,158,8,0.06513409962
Pam,159,8,0.1042345277
Pam,160,8,0.09931506849
Pam,161,8,0.09205020921
Pam,162,8,0.08185053381
Pam,163,8,0.07457627119
Pam,164,9,0.08482142857
Pam,165,9,0.1148648649
Pam,166,9,0.07659574468
Pam,167,9,0.09119496855
Pam,168,9,0.1095890411
Pam,169,9,0.03886925795
Pam,170,9,0.1535836177
Pam,171,9,0.05279503106
Pam,172,9,0.1095238095
Pam,173,9,0.1739130435
Pam,174,9,0.0861423221
Pam,175,9,0.1696113074
Pam,176,9,0.08664259928
Pam,177,9,0.2192307692
Pam,178,9,0.1076923077
Pam,179,9,0.1097804391
Pam,180,9,0.09589041096
Pam,181,9,0.1320754717
Pam,182,9,0.03296703297
Pam,183,9,0.09401709402
Pam,184,9,0.07853403141
Pam,185,9,0.06772908367
Pam,186,9,0.08771929825
Andy,1,1,0
Andy,2,1,0
Andy,3,1,0
Andy,4,1,0
Andy,5,1,0
Andy,6,1,0
Andy,7,2,0
Andy,8,2,0
Andy,9,2,0
Andy,10,2,0
Andy,11,2,0
Andy,12,2,0
Andy,13,2,0
Andy,14,2,0
Andy,15,2,0
Andy,16,2,0
Andy,17,2,0
Andy,18,2,0
Andy,19,2,0
Andy,20,2,0
Andy,21,2,0
Andy,22,2,0
Andy,23,2,0
Andy,24,2,0
Andy,25,2,0
Andy,26,2,0
Andy,27,2,0
Andy,28,2,0
Andy,29,3,0.03401360544
Andy,30,3,0
Andy,31,3,0.03816793893
Andy,32,3,0.01680672269
Andy,33,3,0.01908396947
Andy,34,3,0.06572769953
Andy,35,3,0.01923076923
Andy,36,3,0.0864978903
Andy,37,3,0.0890052356
Andy,38,3,0.05809128631
Andy,39,3,0.01376146789
Andy,40,3,0.1078066914
Andy,41,3,0.193236715
Andy,42,3,0
Andy,43,3,0
Andy,44,3,0
Andy,45,3,0
Andy,46,3,0.005586592179
Andy,47,3,0.06882591093
Andy,48,3,0.1259259259
Andy,49,3,0.03424657534
Andy,50,3,0.06382978723
Andy,51,3,0.04398148148
Andy,52,4,0.01437371663
Andy,53,4,0.02559414991
Andy,54,4,0.08256880734
Andy,55,4,0.02433628319
Andy,56,4,0.1009615385
Andy,57,4,0.02846975089
Andy,58,4,0.03004291845
Andy,59,4,0
Andy,60,4,0.03546099291
Andy,61,4,0.06363636364
Andy,62,4,0.01290322581
Andy,63,4,0.09019607843
Andy,64,4,0.06914893617
Andy,65,4,0.01356589147
Andy,66,5,0.05708661417
Andy,67,5,0.05405405405
Andy,68,5,0.04814814815
Andy,69,5,0.02611940299
Andy,70,5,0.1355932203
Andy,71,5,0.07084468665
